ID,Dag,Maand,Jaar,Tijd,Plaats,Buurt,Straat,Poging,Opgelost
2012377213-1,15,6,2012,16,ROTTERDAM,2-CARNISSE,MEESTER ARENDSTRAAT,N,J
2012377255-1,15,6,2012,17,SCHIEDAM,6-NIEUWLAND-OOST,COLIJNSTRAAT,N,J
2012377276-1,15,6,2012,15,SCHIEDAM,3-HET WESTEN,VLAARDINGERDIJK,N,N
2012377293-1,15,6,2012,20,ROTTERDAM,1-BLOEMHOF,PIMPERNELSTRAAT,N,N
2012377303-1,15,6,2012,15,ROTTERDAM,6-AFRIKAANDERWIJK,DE LA REYSTRAAT,N,N
2012384793-1,15,6,2012,1,ROTTERDAM,0-STADSDRIEHOEK,GOUDSEWAGENSTRAAT,N,N
2012377160-1,15,6,2012,16,ROTTERDAM,5-OUDE NOORDEN,NOORDPLEIN,N,J
2012377936-1,16,6,2012,12,ROTTERDAM,1-BLOEMHOF,DAHLIASTRAAT,N,N
2012384207-1,16,6,2012,24,ROTTERDAM,9-ZONDER NAAM,DRAAISCHIJF,N,N
2012387915-1,17,6,2012,23,BARENDRECHT,4-BUITENOORD,BOEIER,N,N
2012378351-1,17,6,2012,24,ROTTERDAM,2-HILLESLUIS,SLAGHEKSTRAAT,N,N
2012378490-1,17,6,2012,4,SPIJKENISSE,1-MAASWIJK-N.W.,JOKE SMITLAAN,N,N
2012378849-1,17,6,2012,16,VLAARDINGEN,1-CENTRUM,ACHTEROM,N,N
2012378929-1,17,6,2012,17,ROTTERDAM,9-GROOT IJSSELMONDE,BRAMENTUIN,N,N
2012380395-1,17,6,2012,19,ROTTERDAM,2-KRALINGEN OOST,WALDECK-PYRMONTLAAN,N,N
2012538289-1,17,6,2012,5,ROTTERDAM,6-PROVENIERSWIJK,PROVENIERSPLEIN,N,N
2012379532-1,18,6,2012,12,ROTTERDAM,2-HILLESLUIS,LAANTJESWEG,N,N
2012379958-1,18,6,2012,17,ROTTERDAM,5-MIDDELLAND,1E MIDDELLANDSTRAAT,N,N
2012380184-1,19,6,2012,1,ROTTERDAM,4-LOMBARDIJEN,SMEETSLANDSEDIJK,N,N
2012380520-1,19,6,2012,10,ROTTERDAM,9-ZONDER NAAM,SPOORWEGHAVEN,N,J
2012382103-1,19,6,2012,13,ROTTERDAM,7-OOSTERFLANK,PRINS ALEXANDERLAAN,N,J
2012388078-1,19,6,2012,12,ROTTERDAM,9-GROOT IJSSELMONDE,KREEKHUIZENLAAN,N,N
2012381344-1,20,6,2012,1,ROTTERDAM,3-SPAANSE POLDER,THURLEDEWEG,N,N
2012381895-1,20,6,2012,13,ROTTERDAM,9-ZONDER NAAM,LAAN OP ZUID,N,J
2012382592-1,20,6,2012,23,ROTTERDAM,8-ZUIDERPARK,ZUIDERPARK (PARK),N,N
2012384321-1,20,6,2012,8,ROTTERDAM,7-OOSTERFLANK,KLEINE BEER,N,N
2012385077-1,20,6,2012,24,ROTTERDAM,2-CARNISSE,MEESTER ARENDSTRAAT,N,N
2012385195-1,20,6,2012,16,CAPELLE AAN DEN IJSSEL,0-S-GRAVENLAND OOST,PUCCINISTRAAT,J,N
2012460161-1,20,6,2012,23,ROTTERDAM,6-PROVENIERSWIJK,PROVENIERSSINGEL,N,N
2012383038-1,21,6,2012,13,ROTTERDAM,5-OUDE NOORDEN,AELWIJN-FLORISZSTRAAT,N,N
2012383733-1,21,6,2012,23,ROTTERDAM,2-COOL,KAREL DOORMANSTRAAT,J,N
2012385471-1,21,6,2012,11,ROTTERDAM,1-OUDE WESTEN,DIERGAARDESINGEL,J,N
2012384690-1,22,6,2012,20,ROTTERDAM,2-HILLESLUIS,SLAGHEKSTRAAT,N,J
2012385330-1,23,6,2012,3,SCHIEDAM,2-CENTRUM,KOEMARKT,N,N
2012385636-1,23,6,2012,21,SCHIEDAM,7-HARGA/GROENOORD,GRIEGPLEIN,N,N
2012386046-1,23,6,2012,3,ROTTERDAM,5-AGNIESEBUURT,ZOMERHOFSTRAAT,N,N
2012391651-1,23,6,2012,15,ROTTERDAM,4-RUBROEK,GERDESIAWEG,N,N
2012393074-1,23,6,2012,10,ROTTERDAM,7-PENDRECHT,PAPENDRECHTSTRAAT,N,N
2012386417-1,24,6,2012,22,VLAARDINGEN,3-INDISCHE BUURT,BROEKKADE,N,N
