ID,Datu,m,,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2012384321-1,20,06,2012,WO,8:30,8:45,ROTTERDAM,DISTRICT 6,6-Jun,7-OOSTERFLANK,1-1,KLEINE BEER,3067ZW,N,N,m
2012385077-1,20,06,2012,WO,0:15,0:30,ROTTERDAM,DISTRICT 10,7-Jul,2-CARNISSE,3-3,MEESTER ARENDSTRAAT,3083TK,N,N,v
2012385195-1,20,06,2012,WO,16:00,20:00,CAPELLE AAN DEN IJSSEL,DISTRICT 6,5-CAPELLE WEST,0-S-GRAVENLAND OOST,1-COMPONISTENBUURT,PUCCINISTRAAT,2901GL,J,N,v
2012460161-1,20,06,2012,WO,23:00,23:45,ROTTERDAM,DISTRICT 5,1-Jan,6-PROVENIERSWIJK,1-1,PROVENIERSSINGEL,3033EH,N,N,v
2012383038-1,21,06,2012,DO,13:00,13:00,ROTTERDAM,DISTRICT 5,3-Mar,5-OUDE NOORDEN,5-5,AELWIJN-FLORISZSTRAAT,3035CD,N,N,v
2012383733-1,21,06,2012,DO,23:30,23:40,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,1-1,KAREL DOORMANSTRAAT,3012GP,J,N,v
2012385471-1,21,06,2012,DO,11:00,11:00,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,1-1,DIERGAARDESINGEL,3014AG,J,N,v
2012384690-1,22,06,2012,VR,20:30,20:55,ROTTERDAM,DISTRICT 9,8-Aug,2-HILLESLUIS,0-0,SLAGHEKSTRAAT,3074LB,N,J,m
2012385330-1,23,06,2012,ZA,3:00,4:00,SCHIEDAM,DISTRICT 2,5-ZUID C,2-CENTRUM,0-CENTRUM-CENTRAAL,KOEMARKT,3111JH,N,N,m
2012385636-1,23,06,2012,ZA,21:10,21:30,SCHIEDAM,DISTRICT 2,2-NOORD B,7-HARGA/GROENOORD,3-GROENOORD-3,GRIEGPLEIN,3122VN,N,N,m
2012386046-1,23,06,2012,ZA,3:00,3:00,ROTTERDAM,DISTRICT 5,1-Jan,5-AGNIESEBUURT,3-3,ZOMERHOFSTRAAT,,N,N,m
