ID,Dag,Maand,Jaar,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2011204284-1,7,072,011,DO,15:50,16:00,ROTTERDAM,DISTRICT 3,2-Feb,2-TUSSENDIJKE,3-3,SCHIEDAMSEWEG,3026AA,Bewolking,Bewolking,v
2011204480-1,7,072,011,DO,20:15,20:15,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,2-2,KROMME HAGEN,,Bewolking,Bewolking,m
2011204593-1,7,072,011,DO,18:15,20:00,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,7-7,KAPELBURG,,Bewolking,Bewolking,m
2011205556-1,7,072,011,DO,23:15,23:15,ROTTERDAM,DISTRICT 9,9-Sep,0-BEVERWAARD,2-2,STERKENBURGSINGEL,3077DC,Bewolking,Bewolking,m
2011206006-1,7,072,011,DO,18:15,20:00,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,7-7,KAPELBURG,3085HV,Bewolking,Bewolking,m
2011206015-1,7,072,011,DO,18:15,20:00,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,7-7,KAPELBURG,3085HV,Bewolking,Bewolking,m
2011205691-1,8,072,011,VR,19:30,19:30,ROTTERDAM,DISTRICT 10,7-Jul,7-PENDRECHT,6-6,GROENE KRUISWEG,3088NB,Bewolking,Bewolking,v
2011214086-1,8,072,011,VR,21:30,21:45,VLAARDINGEN,DISTRICT 1,4-WIJK 4,1-OOSTWIJK,0-OOSTWIJK,1E VAN LEYDEN GAELSTRAAT,3134LE,Bewolking,Bewolking,m
2011365124-1,8,072,011,VR,20:20,20:30,SCHIEDAM,DISTRICT 2,3-ZUID A,6-NIEUWLAND-WEST,8-NIEUWLAND-8,VLAARDINGERDIJK,3117ZZ,Bewolking,J,m
2011206479-1,9,072,011,ZA,20:00,20:10,ROTTERDAM,DISTRICT 9,8-Aug,6-AFRIKAANDERWIJK,6-6,MARTINUS STEIJNSTRAAT,,Bewolking,J,m
2011206607-1,9,072,011,ZA,23:00,23:00,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,WEENA,3012CN,Bewolking,J,v
